Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Overall Points
AURORA,23,11,0,22,12,11,0,0,79
ENTER FORCE.36,7,0,33,9,6,13,10,0,78
Alliance,17,2,0,10,6,0,20,0,55
GUILD,5,15,1,1,13,19,1,0,55
TSM,7,8,12,2,16,0,10,0,55
Liquid Alienware,2,22,12,1,0,0,7,0,44
GoNext,5,5,0,1,4,12,15,0,42
GaiminGladiators,1,4,10,5,3,0,18,0,41
FURIA,2,5,5,7,8,7,6,0,40
Team Falcons,8,3,4,2,13,6,3,0,39
ShopifyRebellion,3,13,4,11,2,1,1,0,35
100 Thieves,11,5,8,0,7,0,1,0,32
CRAZY RACCOON,10,0,2,1,2,15,1,0,31
Cloud9,2,10,7,2,3,1,6,0,31
Exo Clan,0,4,3,13,1,3,1,0,25
Noctem,0,1,7,11,0,5,0,0,24
Complexity,1,1,6,3,4,4,5,0,24
FNATIC,6,0,0,0,5,6,0,0,17
GREEN STEGO,0,0,0,3,0,6,1,0,10
Virtus.pro,0,0,1,0,3,1,5,0,10
