Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Game 7 P,Game 7 K,Game 8 P,Game 8 K,Game 9 P,Game 9 K,Game 10 P,Game 10 K,Overall Points
Alliance,4,3,12,20,1,0,12,22,2,2,1,3,5,7,9,6,7,17,0,2,135
100 Thieves,12,13,2,5,1,0,0,0,7,4,9,7,2,1,1,1,3,1,9,10,88
ROC Esports,1,0,3,4,4,8,1,1,4,6,2,2,4,7,2,0,12,10,5,6,82
Virtus.pro,7,6,0,0,2,3,3,0,0,3,12,12,1,3,0,0,2,0,12,10,76
S8UL,0,2,1,3,1,1,0,1,12,7,4,9,7,0,3,6,9,7,0,3,76
VK GAMING,2,1,9,3,12,11,2,1,0,0,1,2,3,5,5,0,0,0,4,4,65
Rival Esports,0,0,5,4,3,2,1,0,9,9,3,0,12,8,2,0,2,1,1,3,65
JD GAMING,2,0,1,1,7,8,3,5,5,5,1,0,1,4,0,2,2,3,3,4,57
ShopifyRebellion,9,2,1,5,3,10,4,6,0,0,1,0,0,0,0,0,1,1,7,7,57
GaiminGladiators,3,1,2,0,2,0,7,7,3,4,7,2,3,6,1,2,1,2,1,2,56
NRG,0,1,7,8,0,0,9,5,2,5,2,0,0,0,3,3,3,2,2,0,52
CrazyRaccoon,1,3,0,0,9,4,2,1,1,5,3,7,1,8,2,0,1,0,2,1,51
Team Liquid,0,1,2,2,1,4,1,7,1,0,0,1,9,3,7,5,4,2,0,0,50
GoNext,2,5,1,0,0,0,0,2,1,2,0,0,2,1,4,11,1,3,1,4,40
RRX,0,0,1,0,2,0,1,1,0,4,5,3,0,0,12,7,1,2,0,0,39
EVOS,1,2,0,3,1,7,1,0,2,3,0,0,1,3,0,0,5,6,0,1,36
Twisted Minds,3,5,4,0,0,3,2,1,1,0,1,3,2,0,1,1,0,0,3,2,32
UNLIMIT,1,4,0,3,0,1,0,1,1,0,2,5,1,3,0,3,0,2,2,0,29
SBI e-Sports,1,3,3,0,0,0,5,1,0,0,0,2,0,1,1,6,0,1,1,0,25
FUSION,5,5,0,0,5,0,0,0,3,3,0,0,0,0,1,0,0,0,1,1,24
