Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Overall Points
TSM,4,12,19,2,13,2,2,14,25,24,117
Team Falcons,15,23,12,15,0,17,11,5,2,4,104
NinjasInPyjamas,1,5,18,24,24,9,4,0,10,2,97
FNATIC,0,0,11,9,0,21,5,25,8,1,80
KINOTROPE gaming,4,10,5,1,7,7,8,9,2,16,69
Wolves Esports,3,13,2,7,6,5,0,6,13,11,66
NAVI,5,1,6,6,6,6,25,1,1,1,58
ENTER FORCE.36,0,9,3,7,11,0,2,15,8,1,56
AG.AL,26,1,0,0,1,3,9,0,4,8,52
Team Nemesis,10,4,0,7,6,16,3,4,0,2,52
FURIA,1,3,17,1,4,0,0,1,14,6,47
MOUZ,1,4,0,16,0,12,3,6,5,0,47
Team Orchid,11,1,1,0,6,2,3,4,13,4,45
AlQadsiahEsports,10,8,5,0,2,1,1,0,1,15,43
NOEZ FOXX,2,3,5,1,13,1,2,6,2,2,37
Gen.G Esports,0,4,1,6,1,4,9,6,1,5,37
Sentinels,3,5,4,1,5,1,2,7,0,4,32
MOVISTAR KOI,1,0,0,7,3,1,15,1,0,3,31
EDward Gaming,11,0,0,0,0,0,10,2,5,0,28
Zero Tenacity,5,7,2,0,2,4,1,0,3,3,27
